country_or_area,percentage_racy_bool_local,iso_a3,percentage_racy_bool_eng
Colombia,0.27,COL,0.34
Philippines,0.27,PHL,0.19
Dominica,0.22,DMA,0.41
Czechia,0.12,CZE,0.18
Thailand,0.12,THA,0.16
France,0.1,FRA,0.08
Brazil,0.09,BRA,0.41
Russian Federation,0.07,RUS,0.11
Germany,0.06,DEU,0.05
Ukraine,0.0,UKR,0.17
